ID,LOGIN,REPO,FIRSTSEEN,ISFIRSTCONTRIBUTION
1,cmgustavo,angular-bitcore-wallet-client,UNKNOWN,0
2,matiu,angular-bitcore-wallet-client,UNKNOWN,0
3,alexlyp,angular-bitcore-wallet-client,UNKNOWN,0
4,jrick,atomicswap,UNKNOWN,0
5,dajohi,atomicswap,UNKNOWN,0
6,DesWurstes,atomicswap,UNKNOWN,0
7,devwarrior777,atomicswap,UNKNOWN,0
8,alexlyp,atomicswap,UNKNOWN,0
9,deannolan,atomicswap,UNKNOWN,0
10,GlenDC,atomicswap,UNKNOWN,0
11,metalicjames,atomicswap,UNKNOWN,0
12,LiteBit,atomicswap,UNKNOWN,0
13,eabz,atomicswap,UNKNOWN,0
14,dasource,atomicswap,UNKNOWN,0
15,dunkthelunk,atomicswap,UNKNOWN,0
16,hypernoob,atomicswap,UNKNOWN,0
17,romanornr,atomicswap,UNKNOWN,0
18,tecnovert,atomicswap,UNKNOWN,0
19,wakiyamap,atomicswap,UNKNOWN,0
20,dajohi,base58,UNKNOWN,0
21,jrick,base58,UNKNOWN,0
22,markusrichter,base58,UNKNOWN,0
23,jolan,base58,UNKNOWN,0
24,maraoz,bitcore,UNKNOWN,0
25,chjj,bitcore,UNKNOWN,0
26,matiu,bitcore,UNKNOWN,0
27,gasteve,bitcore,UNKNOWN,0
28,olalonde,bitcore,UNKNOWN,0
29,bookchin,bitcore,UNKNOWN,0
30,eordano,bitcore,UNKNOWN,0
31,bitjson,bitcore,UNKNOWN,0
32,yemel,bitcore,UNKNOWN,0
33,martindale,bitcore,UNKNOWN,0
34,devrandom,bitcore,UNKNOWN,0
35,sagivo,bitcore,UNKNOWN,0
36,dajohi,bitcore,UNKNOWN,0
37,rubensayshi,bitcore,UNKNOWN,0
38,dthorpe,bitcore,UNKNOWN,0
39,felipecsl,bitcore,UNKNOWN,0
40,ethers,bitcore,UNKNOWN,0
41,kyledrake,bitcore,UNKNOWN,0
42,manan19,bitcore,UNKNOWN,0
43,trapp,bitcore,UNKNOWN,0
44,SomeoneWeird,bitcore,UNKNOWN,0
45,bitdeli-chef,bitcore,UNKNOWN,0
46,cmgustavo,bitcore,UNKNOWN,0
47,heath,bitcore,UNKNOWN,0
48,lukem512,bitcore,UNKNOWN,0
49,ryanxcharles,bitcore,UNKNOWN,0
50,cimm,bitcore,UNKNOWN,0
51,yangit,bitcore,UNKNOWN,0
52,porkchop,bitcore,UNKNOWN,0
53,Aaron1011,bitcore,UNKNOWN,0
54,alexlyp,bitcore,UNKNOWN,0
55,aalness,bitcore,UNKNOWN,0
56,mayhemm,bitcore,UNKNOWN,0
57,isocolsky,bitcore,UNKNOWN,0
58,ouziel-slama,bitcore,UNKNOWN,0
59,jcvernaleo,bitcore,UNKNOWN,0
60,LinusU,bitcore,UNKNOWN,0
61,maran,bitcore,UNKNOWN,0
62,colcodev,bitcore,UNKNOWN,0
63,mbelshe,bitcore,UNKNOWN,0
64,askmike,bitcore,UNKNOWN,0
65,petrosagg,bitcore,UNKNOWN,0
66,rapodaca,bitcore,UNKNOWN,0
67,ionux,bitcore,UNKNOWN,0
68,himynameismartin,bitcore,UNKNOWN,0
69,lazaruslarue,bitcore,UNKNOWN,0
70,ralphtheninja,bitcore,UNKNOWN,0
71,shea256,bitcore,UNKNOWN,0
72,bobofzhang,bitcore,UNKNOWN,0
73,maraoz,bitcore-lib,UNKNOWN,0
74,eordano,bitcore-lib,UNKNOWN,0
75,chjj,bitcore-lib,UNKNOWN,0
76,matiu,bitcore-lib,UNKNOWN,0
77,yemel,bitcore-lib,UNKNOWN,0
78,gasteve,bitcore-lib,UNKNOWN,0
79,ryanxcharles,bitcore-lib,UNKNOWN,0
80,martindale,bitcore-lib,UNKNOWN,0
81,olalonde,bitcore-lib,UNKNOWN,0
82,pnagurny,bitcore-lib,UNKNOWN,0
83,dskloet,bitcore-lib,UNKNOWN,0
84,bookchin,bitcore-lib,UNKNOWN,0
85,bitjson,bitcore-lib,UNKNOWN,0
86,rubensayshi,bitcore-lib,UNKNOWN,0
87,throughnothing,bitcore-lib,UNKNOWN,0
88,thofmann,bitcore-lib,UNKNOWN,0
89,braydonf,bitcore-lib,UNKNOWN,0
90,fanatid,bitcore-lib,UNKNOWN,0
91,marianorod,bitcore-lib,UNKNOWN,0
92,devrandom,bitcore-lib,UNKNOWN,0
93,brandonrobertz,bitcore-lib,UNKNOWN,0
94,sagivo,bitcore-lib,UNKNOWN,0
95,dthorpe,bitcore-lib,UNKNOWN,0
96,carnesen,bitcore-lib,UNKNOWN,0
97,isocolsky,bitcore-lib,UNKNOWN,0
98,zmanian,bitcore-lib,UNKNOWN,0
99,ethers,bitcore-lib,UNKNOWN,0
100,himynameismartin,bitcore-lib,UNKNOWN,0
101,kyledrake,bitcore-lib,UNKNOWN,0
102,manan19,bitcore-lib,UNKNOWN,0
103,trapp,bitcore-lib,UNKNOWN,0
104,SomeoneWeird,bitcore-lib,UNKNOWN,0
105,bitdeli-chef,bitcore-lib,UNKNOWN,0
106,elichai,bitcore-lib,UNKNOWN,0
107,cmgustavo,bitcore-lib,UNKNOWN,0
108,cimm,bitcore-lib,UNKNOWN,0
109,bip32JP,bitcore-lib,UNKNOWN,0
110,mruddy,bitcore-lib,UNKNOWN,0
111,yangit,bitcore-lib,UNKNOWN,0
112,gjaldon,bitcore-lib,UNKNOWN,0
113,porkchop,bitcore-lib,UNKNOWN,0
114,Aaron1011,bitcore-lib,UNKNOWN,0
115,aalness,bitcore-lib,UNKNOWN,0
116,dcousens,bitcore-lib,UNKNOWN,0
117,mayhemm,bitcore-lib,UNKNOWN,0
118,ouziel-slama,bitcore-lib,UNKNOWN,0
119,jcvernaleo,bitcore-lib,UNKNOWN,0
120,LinusU,bitcore-lib,UNKNOWN,0
121,maran,bitcore-lib,UNKNOWN,0
122,colcodev,bitcore-lib,UNKNOWN,0
123,stormasm,bitcore-lib,UNKNOWN,0
124,mbelshe,bitcore-lib,UNKNOWN,0
125,askmike,bitcore-lib,UNKNOWN,0
126,nathanph,bitcore-lib,UNKNOWN,0
127,petertodd,bitcore-lib,UNKNOWN,0
128,petrosagg,bitcore-lib,UNKNOWN,0
129,rapodaca,bitcore-lib,UNKNOWN,0
130,ionux,bitcore-lib,UNKNOWN,0
131,unusualbob,bitcore-lib,UNKNOWN,0
132,mpolci,bitcore-lib,UNKNOWN,0
133,lazaruslarue,bitcore-lib,UNKNOWN,0
134,ralphtheninja,bitcore-lib,UNKNOWN,0
135,shea256,bitcore-lib,UNKNOWN,0
136,bobofzhang,bitcore-lib,UNKNOWN,0
137,yemel,bitcore-mnemonic,UNKNOWN,0
138,maraoz,bitcore-mnemonic,UNKNOWN,0
139,eordano,bitcore-mnemonic,UNKNOWN,0
140,dabura667,bitcore-mnemonic,UNKNOWN,0
141,matiu,bitcore-mnemonic,UNKNOWN,0
142,alexlyp,bitcore-mnemonic,UNKNOWN,0
143,mi-ro,bitcore-mnemonic,UNKNOWN,0
144,rubensayshi,bitcore-mnemonic,UNKNOWN,0
145,braydonf,bitcore-mnemonic,UNKNOWN,0
146,jcvernaleo,bitcore-mnemonic,UNKNOWN,0
147,matiu,bitcore-wallet,UNKNOWN,0
148,isocolsky,bitcore-wallet,UNKNOWN,0
149,cmgustavo,bitcore-wallet,UNKNOWN,0
150,gabegattis,bitcore-wallet,UNKNOWN,0
151,maraoz,bitcore-wallet,UNKNOWN,0
152,matiu,bitcore-wallet-client,UNKNOWN,0
153,isocolsky,bitcore-wallet-client,UNKNOWN,0
154,cmgustavo,bitcore-wallet-client,UNKNOWN,0
155,alexlyp,bitcore-wallet-client,UNKNOWN,0
156,troggy,bitcore-wallet-client,UNKNOWN,0
157,EricLarch,bitcore-wallet-client,UNKNOWN,0
158,JDonadio,bitcore-wallet-client,UNKNOWN,0
159,gabegattis,bitcore-wallet-client,UNKNOWN,0
160,kaibakker,bitcore-wallet-client,UNKNOWN,0
161,maraoz,bitcore-wallet-client,UNKNOWN,0
162,matiaspando,bitcore-wallet-client,UNKNOWN,0
163,peterzen,bitcore-wallet-client,UNKNOWN,0
164,dabura667,bitcore-wallet-client,UNKNOWN,0
165,isocolsky,bitcore-wallet-service,UNKNOWN,0
166,matiu,bitcore-wallet-service,UNKNOWN,0
167,cmgustavo,bitcore-wallet-service,UNKNOWN,0
168,alexlyp,bitcore-wallet-service,UNKNOWN,0
169,troggy,bitcore-wallet-service,UNKNOWN,0
170,peterzen,bitcore-wallet-service,UNKNOWN,0
171,rajeshjayaraman,bitcore-wallet-service,UNKNOWN,0
172,dabura667,bitcore-wallet-service,UNKNOWN,0
173,matiaspando,bitcore-wallet-service,UNKNOWN,0
174,thesoftwarejedi,bitcore-wallet-service,UNKNOWN,0
175,dawsbot,bitcore-wallet-service,UNKNOWN,0
176,martindale,bitcore-wallet-service,UNKNOWN,0
177,gabegattis,bitcore-wallet-service,UNKNOWN,0
178,bitjson,bitcore-wallet-service,UNKNOWN,0
179,Kirvx,bitcore-wallet-service,UNKNOWN,0
180,maraoz,bitcore-wallet-service,UNKNOWN,0
181,VoR0220,bitcore-wallet-service,UNKNOWN,0
182,matiu,bitcore-wallet-utils,UNKNOWN,0
183,isocolsky,bitcore-wallet-utils,UNKNOWN,0
184,troggy,bitcore-wallet-utils,UNKNOWN,0
185,alexlyp,bitcore-wallet-utils,UNKNOWN,0
186,matiaspando,bitcore-wallet-utils,UNKNOWN,0
187,gabegattis,bitcore-wallet-utils,UNKNOWN,0
188,cmgustavo,bitcore-wallet-utils,UNKNOWN,0
189,maraoz,bitcore-wallet-utils,UNKNOWN,0
190,jrick,bitset,UNKNOWN,0
191,davecgh,bitset,UNKNOWN,0
192,jcvernaleo,bitset,UNKNOWN,0
193,tpruvot,ccminer,UNKNOWN,0
194,cbuchner1,ccminer,UNKNOWN,0
195,KlausT,ccminer,UNKNOWN,0
196,sp-hash,ccminer,UNKNOWN,0
197,jcvernaleo,ccminer,UNKNOWN,0
198,jolan,ccminer,UNKNOWN,0
199,erkmos,ccminer,UNKNOWN,0
200,alexis78,ccminer,UNKNOWN,0
201,djm34,ccminer,UNKNOWN,0
202,pallas1,ccminer,UNKNOWN,0
203,xCoreDev,ccminer,UNKNOWN,0
204,ckolivas,cgminer,UNKNOWN,0
205,kanoi,cgminer,UNKNOWN,0
206,luke-jr,cgminer,UNKNOWN,0
207,pshep,cgminer,UNKNOWN,0
208,nelisky,cgminer,UNKNOWN,0
209,denis2342,cgminer,UNKNOWN,0
210,ycros,cgminer,UNKNOWN,0
211,xiangfu,cgminer,UNKNOWN,0
212,someone42,cgminer,UNKNOWN,0
213,jcvernaleo,cgminer,UNKNOWN,0
214,rustyrussell,cgminer,UNKNOWN,0
215,chappjc,cgminer,UNKNOWN,0
216,setkeh,cgminer,UNKNOWN,0
217,gzm55,cgminer,UNKNOWN,0
218,dvitas,cgminer,UNKNOWN,0
219,fleger,cgminer,UNKNOWN,0
220,nushor,cgminer,UNKNOWN,0
221,cjepson,cgminer,UNKNOWN,0
222,Kovensky,cgminer,UNKNOWN,0
223,hno,cgminer,UNKNOWN,0
224,roybadami,cgminer,UNKNOWN,0
225,geekmug,cgminer,UNKNOWN,0
226,kr105,cgminer,UNKNOWN,0
227,chrissicool,cgminer,UNKNOWN,0
228,chromicant,cgminer,UNKNOWN,0
229,JesseMoll,cgminer,UNKNOWN,0
230,zenwheel,cgminer,UNKNOWN,0
231,OhGodAPet,cgminer,UNKNOWN,0
232,zefir-k,cgminer,UNKNOWN,0
233,hocuscapocus,cgminer,UNKNOWN,0
234,CyberLeo,cgminer,UNKNOWN,0
235,davecgh,cgminer,UNKNOWN,0
236,EskimoBob,cgminer,UNKNOWN,0
237,forrestv,cgminer,UNKNOWN,0
238,cradle,cgminer,UNKNOWN,0
239,LiveJay,cgminer,UNKNOWN,0
240,mfontani,cgminer,UNKNOWN,0
241,mibe,cgminer,UNKNOWN,0
242,lano1106,cgminer,UNKNOWN,0
243,Phraust,cgminer,UNKNOWN,0
244,Raulo,cgminer,UNKNOWN,0
245,ohhmm,cgminer,UNKNOWN,0
246,tpruvot,cgminer,UNKNOWN,0
247,trini,cgminer,UNKNOWN,0
248,Tydus,cgminer,UNKNOWN,0
249,drizzt,cgminer,UNKNOWN,0
250,jolan,cgminer,UNKNOWN,0
251,mhren,cgminer,UNKNOWN,0
252,holymonson,cgminer,UNKNOWN,0
253,p2k,cgminer,UNKNOWN,0
254,sharky112065,cgminer,UNKNOWN,0
255,sndurkin,contractor-mgmt,UNKNOWN,0
256,cmgustavo,copay,UNKNOWN,0
257,matiu,copay,UNKNOWN,0
258,gabrielbazan7,copay,UNKNOWN,0
259,JDonadio,copay,UNKNOWN,0
260,maraoz,copay,UNKNOWN,0
261,bechi,copay,UNKNOWN,0
262,bitjson,copay,UNKNOWN,0
263,isocolsky,copay,UNKNOWN,0
264,colcodev,copay,UNKNOWN,0
265,jamal-jackson,copay,UNKNOWN,0
266,yemel,copay,UNKNOWN,0
267,chjj,copay,UNKNOWN,0
268,msalcala11,copay,UNKNOWN,0
269,eordano,copay,UNKNOWN,0
270,Kirvx,copay,UNKNOWN,0
271,dabura667,copay,UNKNOWN,0
272,matiaspando,copay,UNKNOWN,0
273,ssotomayor,copay,UNKNOWN,0
274,marianorod,copay,UNKNOWN,0
275,troggy,copay,UNKNOWN,0
276,nacardin,copay,UNKNOWN,0
277,ionux,copay,UNKNOWN,0
278,dthorpe,copay,UNKNOWN,0
279,EricLarch,copay,UNKNOWN,0
280,bitpayalan,copay,UNKNOWN,0
281,Aclay16,copay,UNKNOWN,0
282,bookchin,copay,UNKNOWN,0
283,saschad,copay,UNKNOWN,0
284,jzbz,copay,UNKNOWN,0
285,mpolci,copay,UNKNOWN,0
286,homeopatchy,copay,UNKNOWN,0
287,robjohnson189,copay,UNKNOWN,0
288,Derek701,copay,UNKNOWN,0
289,jlopp,copay,UNKNOWN,0
290,wallclockbuilder,copay,UNKNOWN,0
291,tuladhar,copay,UNKNOWN,0
292,sdobz,copay,UNKNOWN,0
293,antonio-fr,copay,UNKNOWN,0
294,bip32JP,copay,UNKNOWN,0
295,jameswalpole,copay,UNKNOWN,0
296,karel-3d,copay,UNKNOWN,0
297,JohnEz,copay,UNKNOWN,0
298,braydonf,copay,UNKNOWN,0
299,djmbritt,copay,UNKNOWN,0
300,martindale,copay,UNKNOWN,0
301,narrative,copay,UNKNOWN,0
302,heisler3030,copay,UNKNOWN,0
303,bektar,copay,UNKNOWN,0
304,kaibakker,copay,UNKNOWN,0
305,waffle-iron,copay,UNKNOWN,0
306,michaeltrollan,copay,UNKNOWN,0
307,pmichelazzo,copay,UNKNOWN,0
308,pdehaan,copay,UNKNOWN,0
309,gasteve,copay,UNKNOWN,0
310,e5faf2,copay,UNKNOWN,0
311,annie246,copay,UNKNOWN,0
312,ethers,copay,UNKNOWN,0
313,paveljanik,copay,UNKNOWN,0
314,thomashaury,copay,UNKNOWN,0
315,dominictarr,crypto-browserify,UNKNOWN,0
316,calvinmetcalf,crypto-browserify,UNKNOWN,0
317,dcousens,crypto-browserify,UNKNOWN,0
318,legastero,crypto-browserify,UNKNOWN,0
319,CoderPuppy,crypto-browserify,UNKNOWN,0
320,lsegal,crypto-browserify,UNKNOWN,0
321,perezd,crypto-browserify,UNKNOWN,0
322,ForbesLindesay,crypto-browserify,UNKNOWN,0
323,plediii,crypto-browserify,UNKNOWN,0
324,tonistiigi,crypto-browserify,UNKNOWN,0
325,edef1c,crypto-browserify,UNKNOWN,0
326,sokra,crypto-browserify,UNKNOWN,0
327,zaach,crypto-browserify,UNKNOWN,0
328,awlayton,crypto-browserify,UNKNOWN,0
329,arturojain,crypto-browserify,UNKNOWN,0
330,ckaatz-here,crypto-browserify,UNKNOWN,0
331,facundoolano,crypto-browserify,UNKNOWN,0
332,jprichardson,crypto-browserify,UNKNOWN,0
333,kyledrake,crypto-browserify,UNKNOWN,0
334,mbrevoort,crypto-browserify,UNKNOWN,0
335,mosch,crypto-browserify,UNKNOWN,0
336,ralphtheninja,crypto-browserify,UNKNOWN,0
337,orangemug,crypto-browserify,UNKNOWN,0
338,jcvernaleo,crypto-js,UNKNOWN,0
339,davecgh,dcps,UNKNOWN,0
340,cubedro,dcr-netstats,UNKNOWN,0
341,dyrk,dcr-netstats,UNKNOWN,0
342,dajohi,dcr-netstats,UNKNOWN,0
343,frozeman,dcr-netstats,UNKNOWN,0
344,girino,dcr-netstats,UNKNOWN,0
345,alexlyp,dcr-netstats,UNKNOWN,0
346,jholdstock,dcr-netstats,UNKNOWN,0
347,jorisbontje,dcr-netstats,UNKNOWN,0
348,debris,dcr-netstats,UNKNOWN,0
349,jcvernaleo,dcraddrgen,UNKNOWN,0
350,cjepson,dcraddrgen,UNKNOWN,0
351,markusrichter,dcraddrgen,UNKNOWN,0
352,dajohi,dcraddrgen,UNKNOWN,0
353,frankbraun,dcraddrgen,UNKNOWN,0
354,jolan,dcraddrgen,UNKNOWN,0
355,Craig-Macomber,dcraddrgen,UNKNOWN,0
356,jzbz,dcraddrgen,UNKNOWN,0
357,teknico,dcraddrgen,UNKNOWN,0
358,C-ollins,dcrandroid,UNKNOWN,0
359,macsleven,dcrandroid,UNKNOWN,0
360,SergeyMikhlevskiy,dcrandroid,UNKNOWN,0
361,the-wunmi,dcrandroid,UNKNOWN,0
362,afomic,dcrandroid,UNKNOWN,0
363,raedah,dcrandroid,UNKNOWN,0
364,dajohi,dcrandroid,UNKNOWN,0
365,EvertonMelo,dcrandroid,UNKNOWN,0
366,davecgh,dcrd,UNKNOWN,0
367,dajohi,dcrd,UNKNOWN,0
368,jrick,dcrd,UNKNOWN,0
369,jcvernaleo,dcrd,UNKNOWN,0
370,cjepson,dcrd,UNKNOWN,0
371,dnldd,dcrd,UNKNOWN,0
372,alexlyp,dcrd,UNKNOWN,0
373,drahn,dcrd,UNKNOWN,0
374,Roasbeef,dcrd,UNKNOWN,0
375,tuxcanfly,dcrd,UNKNOWN,0
376,jolan,dcrd,UNKNOWN,0
377,markusrichter,dcrd,UNKNOWN,0
378,flammit,dcrd,UNKNOWN,0
379,marcopeereboom,dcrd,UNKNOWN,0
380,jongillham,dcrd,UNKNOWN,0
381,wallclockbuilder,dcrd,UNKNOWN,0
382,chappjc,dcrd,UNKNOWN,0
383,owainga,dcrd,UNKNOWN,0
384,jimmysong,dcrd,UNKNOWN,0
385,tsenart,dcrd,UNKNOWN,0
386,Dirbaio,dcrd,UNKNOWN,0
387,kargakis,dcrd,UNKNOWN,0
388,aakselrod,dcrd,UNKNOWN,0
389,matheusd,dcrd,UNKNOWN,0
390,hypernoob,dcrd,UNKNOWN,0
391,RogueElement,dcrd,UNKNOWN,0
392,jpz,dcrd,UNKNOWN,0
393,tb00,dcrd,UNKNOWN,0
394,JFixby,dcrd,UNKNOWN,0
395,githubsands,dcrd,UNKNOWN,0
396,randomshinichi,dcrd,UNKNOWN,0
397,frankbraun,dcrd,UNKNOWN,0
398,jzbz,dcrd,UNKNOWN,0
399,runeaune,dcrd,UNKNOWN,0
400,toddfries,dcrd,UNKNOWN,0
401,waldyrious,dcrd,UNKNOWN,0
402,dan-da,dcrd,UNKNOWN,0
403,vctt94,dcrd,UNKNOWN,0
404,DanielKrawisz,dcrd,UNKNOWN,0
405,kLkA,dcrd,UNKNOWN,0
406,verokarhu,dcrd,UNKNOWN,0
407,bclermont,dcrd,UNKNOWN,0
408,chris-martin,dcrd,UNKNOWN,0
409,DanielTheSilly,dcrd,UNKNOWN,0
410,gsalgado,dcrd,UNKNOWN,0
411,ishbir,dcrd,UNKNOWN,0
412,jcmincke,dcrd,UNKNOWN,0
413,Kefkius,dcrd,UNKNOWN,0
414,stevenroose,dcrd,UNKNOWN,0
415,benma,dcrd,UNKNOWN,0
416,detailyang,dcrd,UNKNOWN,0
417,matadormel,dcrd,UNKNOWN,0
418,mischief,dcrd,UNKNOWN,0
419,orthomind,dcrd,UNKNOWN,0
420,martelletto,dcrd,UNKNOWN,0
421,apuigsech,dcrd,UNKNOWN,0
422,turboroot,dcrd,UNKNOWN,0
423,beldur,dcrd,UNKNOWN,0
424,lologarithm,dcrd,UNKNOWN,0
425,benhc123,dcrd,UNKNOWN,0
426,carryforward,dcrd,UNKNOWN,0
427,csmcanarney,dcrd,UNKNOWN,0
428,shphrd,dcrd,UNKNOWN,0
429,logicminds,dcrd,UNKNOWN,0
430,Reiuiji,dcrd,UNKNOWN,0
431,mvdan,dcrd,UNKNOWN,0
432,evansuva,dcrd,UNKNOWN,0
433,dskloetg,dcrd,UNKNOWN,0
434,federicobond,dcrd,UNKNOWN,0
435,haakonn,dcrd,UNKNOWN,0
436,hectorj,dcrd,UNKNOWN,0
437,ysangkok,dcrd,UNKNOWN,0
438,jyap808,dcrd,UNKNOWN,0
439,justusranvier,dcrd,UNKNOWN,0
440,maicalal,dcrd,UNKNOWN,0
441,mdempsky,dcrd,UNKNOWN,0
442,fanquake,dcrd,UNKNOWN,0
443,teknico,dcrd,UNKNOWN,0
444,oleganza,dcrd,UNKNOWN,0
445,peterzen,dcrd,UNKNOWN,0
446,SG-O,dcrd,UNKNOWN,0
447,samhattangady,dcrd,UNKNOWN,0
448,Sarlor,dcrd,UNKNOWN,0
449,micodon2k10,dcrd,UNKNOWN,0
450,yrashk,dcrd,UNKNOWN,0
451,atriviss,dcrd,UNKNOWN,0
452,drazisil,dcrd,UNKNOWN,0
453,dskloet,dcrd,UNKNOWN,0
454,ggoranov,dcrd,UNKNOWN,0
455,harzo,dcrd,UNKNOWN,0
456,jadeblaquiere,dcrd,UNKNOWN,0
457,ortutay,dcrd,UNKNOWN,0
458,qshuai,dcrd,UNKNOWN,0
459,raedah,dcrd,UNKNOWN,0
460,adiabat,dcrd,UNKNOWN,0
461,zhizhongzhiwai,dcrd,UNKNOWN,0
462,chappjc,dcrdata,UNKNOWN,0
463,gozart1,dcrdata,UNKNOWN,0
464,RogueElement,dcrdata,UNKNOWN,0
465,McEdward,dcrdata,UNKNOWN,0
466,dmigwi,dcrdata,UNKNOWN,0
467,papacarp,dcrdata,UNKNOWN,0
468,buck54321,dcrdata,UNKNOWN,0
469,JFixby,dcrdata,UNKNOWN,0
470,ademuanthony,dcrdata,UNKNOWN,0
471,codemaestro64,dcrdata,UNKNOWN,0
472,SeaLightHouse,dcrdata,UNKNOWN,0
473,logicminds,dcrdata,UNKNOWN,0
474,dajohi,dcrdata,UNKNOWN,0
475,samparsky,dcrdata,UNKNOWN,0
476,s-ben,dcrdata,UNKNOWN,0
477,itswisdomagain,dcrdata,UNKNOWN,0
478,degeri,dcrdata,UNKNOWN,0
479,Jujhar,dcrdata,UNKNOWN,0
480,infertux,dcrdata,UNKNOWN,0
481,jholdstock,dcrdata,UNKNOWN,0
482,jrick,dcrdata,UNKNOWN,0
483,snadorp,dcrdata,UNKNOWN,0
484,timi-ola,dcrdata,UNKNOWN,0
485,ZeroASIC,dcrdata,UNKNOWN,0
486,girino,dcrdata,UNKNOWN,0
487,lte13,dcrdata,UNKNOWN,0
488,orthomind,dcrdata,UNKNOWN,0
489,linnutee,dcrdesign,UNKNOWN,0
490,jcvernaleo,dcrdocker,UNKNOWN,0
491,dajohi,dcrdocker,UNKNOWN,0
492,chappjc,dcrdocker,UNKNOWN,0
493,alexlyp,dcrdocker,UNKNOWN,0
494,jpbriquet,dcrdocker,UNKNOWN,0
495,jholdstock,dcrdocs,UNKNOWN,0
496,jcvernaleo,dcrdocs,UNKNOWN,0
497,gratefulcheddar,dcrdocs,UNKNOWN,0
498,s-ben,dcrdocs,UNKNOWN,0
499,fainges,dcrdocs,UNKNOWN,0
500,dajohi,dcrdocs,UNKNOWN,0
501,hypernoob,dcrdocs,UNKNOWN,0
502,karamble,dcrdocs,UNKNOWN,0
503,RichardRed0x,dcrdocs,UNKNOWN,0
504,aldoiljazi,dcrdocs,UNKNOWN,0
505,jolan,dcrdocs,UNKNOWN,0
506,alexlyp,dcrdocs,UNKNOWN,0
507,jzbz,dcrdocs,UNKNOWN,0
508,zubairzia0,dcrdocs,UNKNOWN,0
509,ttneverdies,dcrdocs,UNKNOWN,0
510,gozart1,dcrdocs,UNKNOWN,0
511,obxium,dcrdocs,UNKNOWN,0
512,atweiden,dcrdocs,UNKNOWN,0
513,boblin,dcrdocs,UNKNOWN,0
514,infertux,dcrdocs,UNKNOWN,0
515,davecgh,dcrdocs,UNKNOWN,0
516,PrimeDominus,dcrdocs,UNKNOWN,0
517,noahpierau,dcrdocs,UNKNOWN,0
518,matheusd,dcrdocs,UNKNOWN,0
519,peterzen,dcrdocs,UNKNOWN,0
520,anthonyfranks,dcrdocs,UNKNOWN,0
521,sipherr,dcrdocs,UNKNOWN,0
522,Arriu,dcrdocs,UNKNOWN,0
523,arxdsilva,dcrdocs,UNKNOWN,0
524,brandonblock,dcrdocs,UNKNOWN,0
525,chrisdannen,dcrdocs,UNKNOWN,0
526,dandehavilland,dcrdocs,UNKNOWN,0
527,JFixby,dcrdocs,UNKNOWN,0
528,jrick,dcrdocs,UNKNOWN,0
